url,last_modified,title
https://finance.yahoo.com/news/panthers-welcome-chancellor-adams-son-rae-carruth-game-165735387.html,2018-10-28T16:57:35Z,panthers welcome chancellor adams son rae carruth game 165735387
https://finance.yahoo.com/news/mike-gundy-strong-thoughts-twitter-says-destroying-country-165311642.html,2018-10-28T16:53:11Z,mike gundy strong thoughts twitter says destroying country 165311642
https://finance.yahoo.com/video/red-sox-rally-four-run-164710464.html,2018-10-28T16:47:10Z,red sox rally four run 164710464
https://finance.yahoo.com/video/red-sox-rally-four-run-164652713.html,2018-10-28T16:46:52Z,red sox rally four run 164652713
https://finance.yahoo.com/photos/mourning-victims-pittsburgh-synagogue-attack-slideshow-wp-164610148/,2018-10-28T16:46:10Z,
https://finance.yahoo.com/video/2-tickets-win-688-million-163040486.html,2018-10-28T16:30:40Z,2 tickets win 688 million 163040486
https://finance.yahoo.com/news/bears-khalil-mack-sidelined-week-8-due-ankle-injury-162515668.html,2018-10-28T16:25:15Z,bears khalil mack sidelined week 8 due ankle injury 162515668
https://finance.yahoo.com/video/report-abducted-child-migrant-caravan-162307606.html,2018-10-28T16:23:07Z,report abducted child migrant caravan 162307606
https://finance.yahoo.com/video/fantasy-court-ruling-early-morning-161423627.html,2018-10-28T16:14:23Z,fantasy court ruling early morning 161423627
https://finance.yahoo.com/news/da-coach-sumo-wrestler-luxe-jason-walk-nfl-stadium-must-halloween-160515130.html,2018-10-28T16:05:15Z,da coach sumo wrestler luxe jason walk nfl stadium must halloween 160515130
https://finance.yahoo.com/news/khloe-kardashian-back-cleveland-latest-instagram-story-raises-questions-160247872.html,2018-10-28T16:02:47Z,khloe kardashian back cleveland latest instagram story raises questions 160247872
https://finance.yahoo.com/news/nfl-week-8-inactive-players-lists-3-153811270.html,2018-10-28T15:38:11Z,nfl week 8 inactive players lists 3 153811270
https://finance.yahoo.com/news/jobs-report-apple-earnings-need-know-week-ahead-153625846.html,2018-10-28T15:36:25Z,jobs report apple earnings need know week ahead 153625846
https://finance.yahoo.com/news/pittsburgh-mayor-opposes-trumps-call-arm-synagogues-153259200.html,2018-10-28T15:32:59Z,pittsburgh mayor opposes trumps call arm synagogues 153259200
https://finance.yahoo.com/news/report-buffalo-bills-unlikely-deal-lesean-mccoy-deadline-152358791.html,2018-10-28T15:23:58Z,report buffalo bills unlikely deal lesean mccoy deadline 152358791
https://finance.yahoo.com/news/report-cavaliers-fire-head-coach-tyron-lue-0-6-start-151621919.html,2018-10-28T15:16:21Z,report cavaliers fire head coach tyron lue 0 6 start 151621919
https://finance.yahoo.com/news/week-8-fantasy-football-rankings-helping-set-lineup-210614393.html,2018-10-28T15:16:14Z,week 8 fantasy football rankings helping set lineup 210614393
https://finance.yahoo.com/news/eagles-fans-invaded-london-chanting-e-g-l-e-s-everywhere-151402643.html,2018-10-28T15:14:02Z,eagles fans invaded london chanting e g l e s everywhere 151402643
https://finance.yahoo.com/news/college-fantasy-footballs-top-performers-week-9-145248076.html,2018-10-28T14:52:48Z,college fantasy footballs top performers week 9 145248076
https://finance.yahoo.com/video/royal-hongi-144817471.html,2018-10-28T14:48:17Z,royal hongi 144817471
https://finance.yahoo.com/video/royal-tour-continues-meghan-touches-144404752.html,2018-10-28T14:44:04Z,royal tour continues meghan touches 144404752
https://finance.yahoo.com/video/royal-tour-continues-meghan-touches-144351785.html,2018-10-28T14:43:51Z,royal tour continues meghan touches 144351785
https://finance.yahoo.com/news/9-days-midterm-elections-things-stand-160141302.html,2018-10-28T14:00:41Z,9 days midterm elections things stand 160141302
https://finance.yahoo.com/video/front-row-burn-135941162.html,2018-10-28T13:59:41Z,front row burn 135941162
https://finance.yahoo.com/video/50-cent-buys-200-tickets-135645056.html,2018-10-28T13:56:45Z,50 cent buys 200 tickets 135645056
https://finance.yahoo.com/video/50-cent-buys-200-tickets-135123501.html,2018-10-28T13:51:23Z,50 cent buys 200 tickets 135123501
https://finance.yahoo.com/video/50-cent-buys-200-tickets-135112235.html,2018-10-28T13:51:12Z,50 cent buys 200 tickets 135112235
https://finance.yahoo.com/news/ever-dependable-brown-credits-coaching-consistency-ahead-busy-autumn-schedule-125506631.html,2018-10-28T12:55:06Z,ever dependable brown credits coaching consistency ahead busy autumn schedule 125506631
https://finance.yahoo.com/news/double-standard-applied-justice-kavanaugh-elizabeth-warren-112737058.html,2018-10-28T11:27:37Z,double standard applied justice kavanaugh elizabeth warren 112737058
https://finance.yahoo.com/news/even-chris-sales-fiery-speech-didnt-cause-bostons-epic-game-4-comeback-certainly-didnt-hurt-095631015.html,2018-10-28T09:56:31Z,even chris sales fiery speech didnt cause bostons epic game 4 comeback certainly didnt hurt 095631015
https://finance.yahoo.com/news/robinson-wade-offered-england-chances-091607014.html,2018-10-28T09:16:07Z,robinson wade offered england chances 091607014
https://finance.yahoo.com/news/gossip-united-want-allegri-conte-cesc-teases-arsenal-091117216.html,2018-10-28T09:11:17Z,gossip united want allegri conte cesc teases arsenal 091117216
